obec_id;obec;color
510271;Beňadiková;mistyrose
510301;Bešeňová;deepskyblue
510319;Bobrovček;indianred
510327;Bobrovec;brown
510335;Bobrovník;firebrick
510351;Bukovina;salmon
510386;Demänovská Dolina;red
510408;Dúbrava;tomato
510416;Galovany;darksalmon
510424;Gôtovany;coral
510441;Hubová;orangered
510459;Huty;orange
510467;Hybe;lightsalmon
507300;Ivachnová;olive
556807;Ižipovce;sienna
510505;Jakubovany;saddlebrown
510513;Jalovec;sandybrown
510521;Jamník;slateblue
510530;Kalameny;peachpuff
510548;Komjatná;peru
507393;Konská;bisque
510564;Kráľova Lehota;gold
510572;Kvačany;chocolate
510581;Lazisko;burlywood
510599;Likavka;turquoise
510602;Liptovská Anna;mocassin
510611;Liptovská Kokava;wheat
510629;Liptovská Lúžna;darkgoldenrod
510637;Liptovská Osada;cornsilk
558281;Liptovská Porúbka;khaki
510653;Liptovská Sielnica;darkkhaki
510661;Liptovská Štiavnica;olivedrab
510670;Liptovská Teplá;blueviolet
510688;Liptovské Beharovce;yellowgreen
510696;Liptovské Kľačany;darkolivegreen
510700;Liptovské Matiašovce;greenyellow
510718;Liptovské Revúce;chartreuse
511005;Liptovské Sliače;darkseagreen
510726;Liptovský Hrádok;green
510734;Liptovský Ján;yellow
510742;Liptovský Michal;palegreen
510262;Liptovský Mikuláš;crimson
510751;Liptovský Ondrej;lightgreen
580287;Liptovský Peter;limegreen
510777;Liptovský Trnovec;darkgreen
510785;Lisková;goldenrod
510793;Ľubeľa;seagreen
510807;Ľubochňa;plum
510815;Lúčky;indigo
510823;Ludrová;pink
510831;Malatíny;mediumspringgreen
510840;Malé Borové;paleturquoise
510858;Malužiná;orchid
510866;Martinček;darkslategray
510874;Nižná Boca;aqua
510904;Partizánska Ľupča;teal
510912;Pavčina Lehota;cadetblue
510921;Pavlova Ves;powderblue
510947;Podtureň;skyblue
510955;Potok;lightskyblue
510963;Pribylina;blue
510971;Prosiek;steelblue
510998;Ružomberok;royalblue
511013;Smrečany;dodgerblue
511030;Stankovany;cornflowerblue
511056;Štiavnička;lavender
511048;Svätý Kríž;mediumblue
511064;Švošov;rebeccapurple
511072;Trstené;thistle
507407;Turík;darkviolet
511099;Uhorská Ves;azure
511102;Valaská Dubová;magenta
511111;Vavrišovo;violet
511129;Važec;springgreen
511137;Veľké Borové;lightcoral
511145;Veterná Poruba;deeppink
511153;Vlachy;fuchsia
511170;Východná;navy
511188;Vyšná Boca;darkviolet
511196;Závažná Poruba;mediumvioletred
511200;Žiar;lightpink
