Obec trvaleho pobytu;Miesto pracoviska (obec);Periodicita dochadzky;POCET
528595;507938;2;2
528595;560103;2;1
528595;501573;1;2
529320;508209;1;23
529320;508250;1;2
529320;524140;1;3
529320;501956;1;1
529311;517402;1;1
529311;508268;1;1
529311;502031;2;1
529311;508047;1;1
529338;529389;1;41
529338;501905;1;10
529338;508233;2;1
529346;501727;1;2
529346;503614;2;1
529346;517305;1;1
529346;508179;2;1
529354;529346;1;1469
529354;508179;1;42
529354;501522;1;1
529354;503932;2;1
529362;508179;1;3
529362;529311;1;7
529362;529494;1;1
529362;503690;2;1
529397;528595;2;227
529397;557293;1;1
529397;555606;1;1
529397;529362;2;3
529397;519006;2;1
529397;508306;1;2
529397;506877;1;1
529401;529320;2;7
529401;529362;1;2
529371;529397;2;16
529371;529311;1;44
529371;508365;1;2
529371;501808;1;1
529389;000000;2;337
529389;508055;1;2
529389;507831;1;1
529389;505315;1;1
529419;529397;2;15
529419;513881;1;1
529460;529346;2;593
529460;507253;1;1
529460;545333;1;16
529460;518387;1;2
529460;545333;2;3
529460;500241;1;1
529460;513016;2;1
529460;515850;1;1
529460;513903;1;2
529494;999999;1;18
529460;501581;1;1
508063;504947;1;129
529494;529460;1;73
507831;000000;2;9
507831;508233;2;3
507831;529401;1;2
508012;508055;1;1
508021;529320;1;26
508021;000000;1;32
508039;529346;1;33
508055;508063;1;30
507890;507890;1;187
508021;529354;2;1
507954;529354;1;4
507962;529362;1;2
508039;504769;1;1
508039;520802;1;1
508195;528595;2;23
508039;504203;1;1
529494;529389;1;18
529443;529443;1;71
508063;504416;1;2
529443;529338;1;1
529494;508438;2;1
508233;529460;1;84
508161;528595;2;8
504769;999999;2;6
504858;529371;2;9
504858;999999;1;3
508080;528595;2;7
504874;504980;1;5
504556;504823;1;1
508195;529362;2;1
504874;000000;2;3
504874;504351;1;6
508080;529354;2;2
504629;000000;2;4
508080;508179;1;2
504980;504203;1;6
508381;529389;1;22
504947;529371;2;12
508349;508381;1;20
508365;528595;1;18
508349;529354;1;9
508365;508349;1;9
504947;508381;2;2
508349;529389;1;7
504947;507440;1;1
500267;529354;1;1
504980;504815;2;1
504980;529435;1;1
508381;508039;2;1
508179;508233;1;6
508179;501727;1;3
508179;504815;2;1
504874;529389;1;6
508241;529397;1;2
508241;529371;1;12
507806;508179;1;51
507806;528595;1;56
507849;529389;1;8
507849;507555;2;1
507849;529371;1;2
507989;529311;1;6
508250;529460;1;33
508250;529354;1;49
508187;529320;1;1
508187;508314;1;1
508101;506745;2;1
508250;509132;2;1
508101;999999;2;12
508101;507938;1;1
507989;529427;2;1
508314;504947;1;1
508217;505820;1;1
508268;507954;1;1
508306;000000;2;4
508250;507806;2;1
508322;508438;1;2
508047;529460;1;13
507873;529397;2;2
507946;507806;1;8
508047;508110;1;1
508047;506745;1;2
507849;507814;2;1
507946;529346;2;5
508047;506745;2;1
508101;529389;2;2
507857;518034;1;1
508217;503983;1;3
503681;503681;1;8
507814;508225;2;1
508217;545333;1;1
503851;508217;1;35
555495;507806;1;31
508209;529460;1;17
507938;503797;1;1
507997;529320;2;1
508071;501433;1;1
555495;504149;1;1
507938;523381;1;3
507938;529427;2;1
555495;529397;1;2
503983;000000;1;10
508209;529346;1;37
508276;508217;1;8
508292;529389;1;7
508331;508292;1;1
508292;508136;1;3
508209;502031;2;1
555509;529362;1;2
503983;529443;1;1
507911;504491;1;1
507903;529311;1;16
503681;507989;2;1
503801;508136;1;1
