obecA;obecB;Periodicita dochadzky;POCET
598151;598151;1;1523
598186;999999;1;247
518379;518379;2;7
598151;525405;1;1
525146;525405;1;54
599875;599913;1;41
525235;999999;1;73
524379;524778;1;103
504815;000000;2;98
598151;524140;1;47
598186;598186;2;189
504734;529346;1;1
524204;525146;1;5
525235;524140;2;31
524778;000000;1;299
518549;518263;1;114
518468;528595;1;32
599875;598682;1;81
524573;524778;1;5
598119;598119;1;41
525146;524140;2;89
518549;580520;1;2
525146;524409;1;2
525243;999999;1;6
598151;599913;1;20
504742;529460;1;1
524379;999999;1;38
598186;528722;1;3
518263;518824;2;8
504734;504815;2;9
524280;999999;1;13
504378;529320;2;5
518263;518379;1;29
524778;599824;2;4
511731;999999;2;6
580520;580520;1;36
518379;528595;1;2
504939;000000;2;12
504912;507067;2;1
518468;518549;1;58
524778;525316;1;9
524671;528595;1;5
518921;999999;2;8
518263;518972;1;31
518379;999999;2;8
504378;529338;1;1
599875;598682;2;7
525146;517402;1;3
504432;504432;1;6
598186;514462;1;1
524565;525006;1;4
504912;504963;1;1
504912;504351;1;3
598186;521655;1;2
525146;507768;1;1
504939;504963;1;1
504611;000000;2;18
518549;518662;1;3
524565;524298;1;3
504271;529389;2;1
598151;510998;2;1
518549;518263;2;28
504378;504203;2;8
598151;523585;1;1
598186;599093;2;10
599875;521965;1;1
598186;598127;2;13
598186;528293;2;1
599875;509256;1;1
598127;599972;1;1
599875;526096;1;1
504351;508349;2;1
504271;504378;2;3
504432;000000;2;13
504718;507741;1;1
504271;504734;2;1
504963;999999;1;14
504378;504670;1;3
504530;504351;1;11
504394;999999;2;6
598186;598119;2;1
599891;599891;2;2
598127;598119;1;1
599875;515850;1;1
599875;522261;2;1
504343;529346;2;3
504815;529354;1;3
504742;506745;1;3
504742;504335;2;1
504718;504912;2;1
504963;504459;1;1
504734;504335;1;1
504815;504904;1;1
504351;504491;1;2
504530;504203;2;2
504530;529397;1;1
504670;529320;2;1
504378;504572;1;1
504351;529389;1;1
504343;518034;2;1
504742;506851;1;1
504343;504459;1;1
511510;000000;1;33
518549;515850;2;1
518263;518824;1;19
518930;000000;2;5
504611;504009;2;1
504378;511218;2;1
518549;518468;2;5
518794;509001;1;1
518921;518549;1;5
504912;528595;1;1
504718;508063;1;2
518549;000000;2;19
524816;999999;1;39
524239;508233;2;1
524921;599093;2;1
525308;000000;1;15
525219;000000;2;22
524824;525146;1;26
525308;528595;2;2
524611;526819;1;1
511731;511391;1;1
524204;000000;1;19
525146;505820;2;2
524921;999999;2;13
524239;528595;1;8
518263;504262;1;1
524816;528595;2;3
524298;524824;1;3
524671;525219;1;6
518930;999999;2;1
525359;598151;1;2
524611;525235;1;3
518263;598186;1;1
598151;526142;2;1
518263;529460;2;1
518921;518506;2;1
518468;529320;2;1
518450;517402;2;1
524239;524247;1;10
518824;518808;1;2
518271;511510;2;1
524611;524778;2;6
525081;524603;2;1
524239;525316;1;9
524603;525171;1;2
518263;509540;1;2
525120;508179;1;1
524948;525006;1;5
524816;528595;1;6
524956;000000;1;16
518263;509124;2;1
524379;525006;1;1
518450;502031;2;1
518263;509001;1;2
518921;508519;1;1
518816;518921;1;2
518263;518557;2;1
580520;558192;2;1
518824;511226;1;1
518263;511749;1;2
524310;524875;1;1
524298;525006;1;7
524778;500011;1;3
525006;519006;1;3
525146;523381;2;3
525146;509132;2;1
524247;598151;1;2
524778;525014;1;1
