code,nazov,kod_obce,typ,okMesto,kMesto,IDN3,NM3,IDN2,NM2,NAZOVOBCE,KODOBCE,nazov_1,kod,obyv,x,y
027 32,Huty,510459.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Huty,"510459",168.00000000000,-382741.039,-1176852.980
027 32,Malé Borové,510840.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Malé Borové,"510840",126.50000000000,-385560.280,-1176023.650
027 32,Ve¾ké Borové,511137.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Ve¾ké Borové,"511137",48.50000000000,-386891.202,-1179216.620
031 01,Pavèina Lehota,510912.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Pavèina Lehota,"510912",387.50000000000,-384890.731,-1197645.880
031 01,Liptovský Trnovec,510777.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Liptovský Trnovec,"510777",553.50000000000,-385387.501,-1187793.390
031 01,Demänovská Dolina,510386.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Demänovská Dolina,"510386",306.50000000000,-383811.441,-1204702.360
031 04,Veterná Poruba,511145.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Veterná Poruba,"511145",377.00000000000,-375936.761,-1189758.790
032 02,Závažná Poruba,511196.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Závažná Poruba,"511196",1278.50000000000,-378453.934,-1195805.280
032 03,Liptovský Ján,510734.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Liptovský Ján,"510734",1084.00000000000,-376350.400,-1196549.230
032 03,Uhorská Ves,511099.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Uhorská Ves,"511099",492.00000000000,-376041.344,-1195356.530
032 04,Jakubovany,510505.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0","Jakubovany, okres Liptovský Mikuláš","510505",364.50000000000,-372673.003,-1190748.500
032 04,Konská,507393.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0","Konská, okres Liptovský Mikuláš","507393",214.50000000000,-372931.910,-1188948.910
032 04,Liptovský Ondrej,510751.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Liptovský Ondrej,"510751",615.50000000000,-373540.278,-1191293.100
032 04,Beòadiková,510271.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Beòadiková,"510271",509.00000000000,-375889.571,-1193249.570
032 05,Smreèany,511013.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Smreèany,"511013",663.50000000000,-377888.128,-1188503.790
032 05,Žiar,511200.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0","Žiar, okres Liptovský Mikuláš","511200",455.50000000000,-376704.487,-1187363.600
032 11,Lazisko,510581.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Lazisko,"510581",395.50000000000,-386557.684,-1197845.480
032 11,Svätý Kríž,511048.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Svätý Kríž,"511048",810.50000000000,-386793.633,-1195617.990
032 11,Galovany,510416.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Galovany,"510416",284.50000000000,-386803.836,-1193217.680
032 12,Dúbrava,510408.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0","Dúbrava, okres Liptovský Mikuláš","510408",1227.50000000000,-389482.184,-1196753.100
032 13,Vlachy,511153.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Vlachy,"511153",607.00000000000,-390923.390,-1190548.900
032 14,Liptovské K¾aèany,510696.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Liptovské K¾aèany,"510696",387.50000000000,-391307.634,-1197204.860
032 14,Gôtovany,510424.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Gôtovany,"510424",459.00000000000,-388993.704,-1194246.300
032 14,¼ube¾a,510793.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",¼ube¾a,"510793",1107.00000000000,-390696.368,-1195166.500
032 15,Malatíny,510831.00000000000,vo,"0","0","505",Liptovský Mikuláš,"5",Žilinský,,"0",Malatíny,"510831",227.50000000000,-392223.026,-1193728.480
