"","obecA","obecB","pocet","okresA","okresB","obecA_nazov","obecB_nazov"
"1","507300","507300",18,"SK0318","SK0318","Ivachnová","Ivachnová"
"2","507300","507407",1,"SK0318","SK0318","Ivachnová","Turík"
"3","507300","510262",10,"SK0318","SK0315","Ivachnová","Liptovský Mikuláš"
"4","507300","510301",6,"SK0318","SK0318","Ivachnová","Bešeòová"
"5","507300","510386",1,"SK0318","SK0315","Ivachnová","Demänovská Dolina"
"6","507300","510572",1,"SK0318","SK0315","Ivachnová","Kvaèany"
"7","507300","510599",1,"SK0318","SK0318","Ivachnová","Likavka"
"8","507300","510637",1,"SK0318","SK0318","Ivachnová","Liptovská Osada"
"9","507300","510670",9,"SK0318","SK0318","Ivachnová","Liptovská Teplá"
"10","507300","510726",3,"SK0318","SK0315","Ivachnová","Liptovský Hrádok"
"11","507300","510785",1,"SK0318","SK0318","Ivachnová","Lisková"
"12","507300","510807",1,"SK0318","SK0318","Ivachnová","¼ubochòa"
"13","507300","510904",1,"SK0318","SK0315","Ivachnová","Partizánska ¼upèa"
"14","507300","510998",93,"SK0318","SK0318","Ivachnová","Ružomberok"
"15","507300","511005",1,"SK0318","SK0318","Ivachnová","Liptovské Sliaèe"
"16","507300","511056",1,"SK0318","SK0318","Ivachnová","Štiavnièka"
"17","507393","507393",2,"SK0315","SK0315","Konská","Konská"
"18","507393","510262",41,"SK0315","SK0315","Konská","Liptovský Mikuláš"
"19","507393","510611",1,"SK0315","SK0315","Konská","Liptovská Kokava"
"20","507393","510726",4,"SK0315","SK0315","Konská","Liptovský Hrádok"
"21","507393","510751",2,"SK0315","SK0315","Konská","Liptovský Ondrej"
"22","507393","510963",2,"SK0315","SK0315","Konská","Pribylina"
"23","507393","511196",2,"SK0315","SK0315","Konská","Závažná Poruba"
"24","507393","511200",1,"SK0315","SK0315","Konská","Žiar"
"25","507407","507407",5,"SK0318","SK0318","Turík","Turík"
"26","507407","510262",2,"SK0318","SK0315","Turík","Liptovský Mikuláš"
"27","507407","510301",1,"SK0318","SK0318","Turík","Bešeòová"
"28","507407","510599",1,"SK0318","SK0318","Turík","Likavka"
"29","507407","510670",3,"SK0318","SK0318","Turík","Liptovská Teplá"
"30","507407","510785",4,"SK0318","SK0318","Turík","Lisková"
"31","507407","510904",1,"SK0318","SK0315","Turík","Partizánska ¼upèa"
"32","507407","510955",1,"SK0318","SK0318","Turík","Potok"
"33","507407","510998",27,"SK0318","SK0318","Turík","Ružomberok"
