obec_id;pocet_dochadzajucich;obec;mesto_id;mesto;vzdialenost_km;vzdialenost_min
510271;95;Beňadiková;510262;Liptovský Mikuláš;5;7
510301;15;Bešeňová;510262;Liptovský Mikuláš;18;13
510319;28;Bobrovček;510262;Liptovský Mikuláš;10;14
510327;288;Bobrovec;510262;Liptovský Mikuláš;6;9
510335;13;Bobrovník;510262;Liptovský Mikuláš;17;19
510351;6;Bukovina;510262;Liptovský Mikuláš;17;19
510386;7;Demänovská Dolina;510262;Liptovský Mikuláš;14;18
510408;142;Dúbrava;510262;Liptovský Mikuláš;13;15
510416;59;Galovany;510262;Liptovský Mikuláš;8;9
510424;61;Gôtovany;510262;Liptovský Mikuláš;12;12
510441;2;Hubová;510262;Liptovský Mikuláš;37;33
510459;1;Huty;510262;Liptovský Mikuláš;32;36
510467;84;Hybe;510262;Liptovský Mikuláš;18;18
507300;10;Ivachnová;510262;Liptovský Mikuláš;18;14
556807;10;Ižipovce;510262;Liptovský Mikuláš;14;17
510505;52;Jakubovany;510262;Liptovský Mikuláš;10;12
510513;54;Jalovec;510262;Liptovský Mikuláš;9;12
510521;45;Jamník;510262;Liptovský Mikuláš;11;13
510530;3;Kalameny;510262;Liptovský Mikuláš;22;19
510548;3;Komjatná;510262;Liptovský Mikuláš;38;36
507393;41;Konská;510262;Liptovský Mikuláš;11;14
510564;23;Kráľova Lehota;510262;Liptovský Mikuláš;15;16
510572;61;Kvačany;510262;Liptovský Mikuláš;15;17
510581;61;Lazisko;510262;Liptovský Mikuláš;12;14
510599;24;Likavka;510262;Liptovský Mikuláš;28;24
510602;12;Liptovská Anna;510262;Liptovský Mikuláš;19;22
510611;51;Liptovská Kokava;510262;Liptovský Mikuláš;23;18
510629;5;Liptovská Lúžna;510262;Liptovský Mikuláš;44;39
510637;5;Liptovská Osada;510262;Liptovský Mikuláš;40;33
558281;36;Liptovská Porúbka;510262;Liptovský Mikuláš;11;14
510653;90;Liptovská Sielnica;510262;Liptovský Mikuláš;12;14
510661;10;Liptovská Štiavnica;510262;Liptovský Mikuláš;27;22
510670;28;Liptovská Teplá;510262;Liptovský Mikuláš;19;15
510688;14;Liptovské Beharovce;510262;Liptovský Mikuláš;9;13
510696;34;Liptovské Kľačany;510262;Liptovský Mikuláš;17;17
510700;27;Liptovské Matiašovce;510262;Liptovský Mikuláš;15;17
510718;5;Liptovské Revúce;510262;Liptovský Mikuláš;47;40
511005;32;Liptovské Sliače;510262;Liptovský Mikuláš;23;18
510726;440;Liptovský Hrádok;510262;Liptovský Mikuláš;11;12
510734;113;Liptovský Ján;510262;Liptovský Mikuláš;7;9
510742;8;Liptovský Michal;510262;Liptovský Mikuláš;18;13
510262;5181;Liptovský Mikuláš;510262;Liptovský Mikuláš;0;0
510751;89;Liptovský Ondrej;510262;Liptovský Mikuláš;9;11
580287;84;Liptovský Peter;510262;Liptovský Mikuláš;15;11
510777;90;Liptovský Trnovec;510262;Liptovský Mikuláš;8;13
510785;30;Lisková;510262;Liptovský Mikuláš;23;17
510793;151;Ľubeľa;510262;Liptovský Mikuláš;14;13
510807;6;Ľubochňa;510262;Liptovský Mikuláš;39;34
510815;24;Lúčky;510262;Liptovský Mikuláš;22;19
510823;9;Ludrová;510262;Liptovský Mikuláš;27;21
510831;17;Malatíny;510262;Liptovský Mikuláš;16;15
510840;5;Malé Borové;510262;Liptovský Mikuláš;35;41
510858;3;Malužiná;510262;Liptovský Mikuláš;21;20
510866;2;Martinček;510262;Liptovský Mikuláš;30;26
510874;8;Nižná Boca;510262;Liptovský Mikuláš;25;23
510904;67;Partizánska Ľupča;510262;Liptovský Mikuláš;18;16
510912;49;Pavčina Lehota;510262;Liptovský Mikuláš;8;11
510921;36;Pavlova Ves;510262;Liptovský Mikuláš;8;11
510947;139;Podtureň;510262;Liptovský Mikuláš;7;8
510955;3;Potok;510262;Liptovský Mikuláš;20;15
510963;49;Pribylina;510262;Liptovský Mikuláš;19;14
510971;25;Prosiek;510262;Liptovský Mikuláš;14;18
510998;209;Ružomberok;510262;Liptovský Mikuláš;26;21
511013;106;Smrečany;510262;Liptovský Mikuláš;8;10
511030;4;Stankovany;510262;Liptovský Mikuláš;41;38
511056;12;Štiavnička;510262;Liptovský Mikuláš;24;18
511048;150;Svätý Kríž;510262;Liptovský Mikuláš;9;10
511064;3;Švošov;510262;Liptovský Mikuláš;41;37
511072;42;Trstené;510262;Liptovský Mikuláš;8;11
507407;2;Turík;510262;Liptovský Mikuláš;22;20
511099;49;Uhorská Ves;510262;Liptovský Mikuláš;6;7
511102;1;Valaská Dubová;510262;Liptovský Mikuláš;33;30
511111;39;Vavrišovo;510262;Liptovský Mikuláš;15;11
511129;42;Važec;510262;Liptovský Mikuláš;34;22
511137;2;Veľké Borové;510262;Liptovský Mikuláš;36;40
511145;73;Veterná Poruba;510262;Liptovský Mikuláš;8;10
511153;66;Vlachy;510262;Liptovský Mikuláš;17;17
511170;96;Východná;510262;Liptovský Mikuláš;24;16
511188;6;Vyšná Boca;510262;Liptovský Mikuláš;28;27
511196;138;Závažná Poruba;510262;Liptovský Mikuláš;5;7
511200;72;Žiar;510262;Liptovský Mikuláš;10;12
510271;2;Beňadiková;510998;Ružomberok;33;35
510301;23;Bešeňová;510998;Ružomberok;13;18
510319;1;Bobrovček;510998;Ružomberok;34;41
510327;14;Bobrovec;510998;Ružomberok;30;37
510335;1;Bobrovník;510998;Ružomberok;19;25
510351;1;Bukovina;510998;Ružomberok;20;25
510386;3;Demänovská Dolina;510998;Ružomberok;36;43
510408;17;Dúbrava;510998;Ružomberok;24;30
510416;2;Galovany;510998;Ružomberok;27;29
510424;0;Gôtovany;510998;Ružomberok;24;27
510441;113;Hubová;510998;Ružomberok;13;15
510459;2;Huty;510998;Ružomberok;44;51
510467;5;Hybe;510998;Ružomberok;47;43
507300;93;Ivachnová;510998;Ružomberok;9;19
556807;0;Ižipovce;510998;Ružomberok;23;28
510505;1;Jakubovany;510998;Ružomberok;38;40
510513;3;Jalovec;510998;Ružomberok;33;39
510521;1;Jamník;510998;Ružomberok;40;39
510530;45;Kalameny;510998;Ružomberok;14;18
510548;122;Komjatná;510998;Ružomberok;14;19
507393;0;Konská;510998;Ružomberok;39;42
510564;1;Kráľova Lehota;510998;Ružomberok;44;42
510572;3;Kvačany;510998;Ružomberok;28;33
510581;3;Lazisko;510998;Ružomberok;28;32
510599;389;Likavka;510998;Ružomberok;3;7
510602;2;Liptovská Anna;510998;Ružomberok;22;28
510611;2;Liptovská Kokava;510998;Ružomberok;45;42
510629;235;Liptovská Lúžna;510998;Ružomberok;20;21
510637;138;Liptovská Osada;510998;Ružomberok;15;15
558281;2;Liptovská Porúbka;510998;Ružomberok;37;40
510653;10;Liptovská Sielnica;510998;Ružomberok;24;29
510661;228;Liptovská Štiavnica;510998;Ružomberok;5;8
510670;106;Liptovská Teplá;510998;Ružomberok;11;15
510688;0;Liptovské Beharovce;510998;Ružomberok;33;39
510696;2;Liptovské Kľačany;510998;Ružomberok;21;30
510700;2;Liptovské Matiašovce;510998;Ružomberok;27;32
510718;136;Liptovské Revúce;510998;Ružomberok;22;23
511005;506;Liptovské Sliače;510998;Ružomberok;9;16
510726;30;Liptovský Hrádok;510998;Ružomberok;39;34
510734;7;Liptovský Ján;510998;Ružomberok;32;29
510742;24;Liptovský Michal;510998;Ružomberok;11;19
510262;207;Liptovský Mikuláš;510998;Ružomberok;26;28
510751;1;Liptovský Ondrej;510998;Ružomberok;37;35
580287;3;Liptovský Peter;510998;Ružomberok;37;31
510777;7;Liptovský Trnovec;510998;Ružomberok;25;31
510785;270;Lisková;510998;Ružomberok;6;10
510793;28;Ľubeľa;510998;Ružomberok;18;24
510807;86;Ľubochňa;510998;Ružomberok;14;16
510815;128;Lúčky;510998;Ružomberok;14;18
510823;154;Ludrová;510998;Ružomberok;5;8
510831;13;Malatíny;510998;Ružomberok;17;22
510840;0;Malé Borové;510998;Ružomberok;46;55
510858;0;Malužiná;510998;Ružomberok;50;42
510866;62;Martinček;510998;Ružomberok;6;9
510874;1;Nižná Boca;510998;Ružomberok;54;45
510904;67;Partizánska Ľupča;510998;Ružomberok;14;22
510912;0;Pavčina Lehota;510998;Ružomberok;30;32
510921;0;Pavlova Ves;510998;Ružomberok;32;35
510947;11;Podtureň;510998;Ružomberok;33;32
510955;10;Potok;510998;Ružomberok;13;22
510963;3;Pribylina;510998;Ružomberok;41;36
510971;4;Prosiek;510998;Ružomberok;21;29
510998;4609;Ružomberok;510998;Ružomberok;0;0
511013;2;Smrečany;510998;Ružomberok;34;38
511030;57;Stankovany;510998;Ružomberok;17;20
511056;150;Štiavnička;510998;Ružomberok;4;8
511048;6;Svätý Kríž;510998;Ružomberok;24;28
511064;93;Švošov;510998;Ružomberok;16;19
